=== SHEET: Backend ===
1 | Case N | Scenario | Conditions | Expected result | Status | TC ref
16 | 15 | Wait=No path but perpetuity date is BEFORE signing date — old contract is in perpetuity that has already passed, so this contract/POD is skipped by the diagram. | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Old contract version has ≥1 Active POD not yet marked Re-signed - ✅ Selected POD has future activation in another contract (AC4) - ❌ POD has a gap in a future version of the old contract - ❌ POD can be activated in at least one version of the new contract - ✅ "Wait for old contract term to expire" rule = Yes - ❌ Perpetuity date is empty OR > signing date - ❌ | Per diagram: this contract+POD is dropped from the candidate list. • If at least one OTHER contract+POD pair still qualifies → 200 OK proceed with the qualifying ones. • If NONE qualify → HTTP 400/422 with code NO_ELIGIBLE_SOURCE_CONTRACT. • No partial state on the skipped POD. | ✅ | TC-BE-22
17 | 16 | Calculation engine cannot derive a re-signing period (config missing — e.g. resigningDeadline absent on terms; or old contract end date null). | Terms config missing resigningDeadline OR old end date null - ✅ | HTTP 422 with code RESIGNING_PERIOD_CANNOT_BE_CALCULATED. • No state changes. • Error payload should name the missing field so support can remediate config quickly. | ✅ | TC-BE-15
18 | 17 | Calculated POD activation date does NOT fall inside any version of the old contract — diagram routes to the AC4 warning. User has not yet confirmed. | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Old contract version has ≥1 Active POD not yet marked Re-signed - ✅ Selected POD has future activation in another contract (AC4) - ❌ POD has a gap in a future version of the old contract - ❌ POD can be activated in at least one version of the new contract - ✅ POD activation date falls inside an old-contract version - ❌ Request has confirmRemoveFutureActivation = true - ❌ | HTTP 409/422 with code FUTURE_ACTIVATION_NOT_CONFIRMED. • Response body includes a structured list of conflicting { contractId, contractNumber, podId, fromDate, toDate } so UI can show the AC4 modal. • No state changes. | ✅ | 
19 | 18 | AC4 confirmation flow — POD has future activation in another contract, user submits confirmRemoveFutureActivation=true. | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Old contract version has ≥1 Active POD not yet marked Re-signed - ✅ Selected POD has future activation in another contract (AC4) - ✅ Request has confirmRemoveFutureActivation = true - ✅ POD can be activated in at least one version of the new contract - ✅ | HTTP 200 OK. • Future activation rows for this POD on the OTHER contract are removed. • POD is activated on the new contract WITHOUT a deactivation date (it would have been bounded by the now-removed conflict). • Old POD deactivated on activation - 1 day, marked Re-signed. • Audit log records that the conflict was acknowledged + removed. | ✅ | TC-BE-32
20 | 19 | AC4 cancellation — POD has future activation in another contract; user did NOT send confirmRemoveFutureActivation. | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Old contract version has ≥1 Active POD not yet marked Re-signed - ✅ Selected POD has future activation in another contract (AC4) - ✅ Request has confirmRemoveFutureActivation = true - ❌ | HTTP 400/409 with code FUTURE_ACTIVATION_NOT_CONFIRMED. • Transaction rolled back (atomic). • Old contract unchanged. • POD NOT activated on the new contract. • Other contract's future activation NOT removed. • Same conflict payload returned as in TC-19. | ✅ | TC-BE-33
21 | 20 | POD has a gap in a FUTURE version of the old contract (future activation/deactivation creates a non-contiguous supply window). Re-signing must be blocked to keep state consistent. | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Old contract version has ≥1 Active POD not yet marked Re-signed - ✅ Selected POD has future activation in another contract (AC4) - ❌ POD has a gap in a future version of the old contract - ❌ POD can be activated in at least one version of the new contract - ✅ POD has a gap in a future version of the old contract - ✅ | HTTP 409/422 with code POD_HAS_GAP_IN_FUTURE_VERSION. • No re-sign performed. • Error payload identifies the affected POD and the gap boundaries. | ✅ | TC-BE-34
22 | 21 | POD has a gap in a PAST version of the old contract — only future gaps block the re-sign per AC, so this should succeed. | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Old contract version has ≥1 Active POD not yet marked Re-signed - ✅ Selected POD has future activation in another contract (AC4) - ❌ POD has a gap in a future version of the old contract - ❌ POD can be activated in at least one version of the new contract - ✅ Gap exists ONLY in a past version of old contract (before signing date) - ✅ | HTTP 200 OK. • Historical gap ignored. • Re-sign succeeds with full TC-1 side effects. | ✅ | TC-BE-35
23 | 22 | Calculated activation date does not fall inside any version of the NEW contract — POD cannot be placed. | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Old contract version has ≥1 Active POD not yet marked Re-signed - ✅ POD can be activated in at least one version of the new contract - ❌ | HTTP 422 with code POD_NOT_ACTIVATABLE_IN_NEW_CONTRACT. • No state changes. • Error includes the calculated activation date and the new contract's version coverage so the gap is debuggable. | ✅ | TC-BE-36
24 | 23 | Calculated supply period straddles two versions of the new contract (e.g. v1 ends mid-period and v2 starts) — POD must be added to BOTH versions with the appropriate sub-ranges. | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Old contract version has ≥1 Active POD not yet marked Re-signed - ✅ Selected POD has future activation in another contract (AC4) - ❌ POD has a gap in a future version of the old contract - ❌ POD can be activated in at least one version of the new contract - ✅ Calculated period spans multiple new-contract versions - ✅ | HTTP 200 OK. • POD inserted into v1 of new contract for sub-range A (e.g. 5–8 March). • POD also inserted into v2 of new contract for sub-range B (e.g. 9–30 March). • Old POD deactivated as usual; marked Re-signed once. | ✅ | TC-BE-36
25 | 24 | Old POD has NO deactivation date (open-ended supply on the old contract). New POD inherits the open-ended state. | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Old contract version has ≥1 Active POD not yet marked Re-signed - ✅ Selected POD has future activation in another contract (AC4) - ❌ POD has a gap in a future version of the old contract - ❌ POD can be activated in at least one version of the new contract - ✅ Old POD has deactivation date populated - ❌ New activation > old POD activation date - ✅ | HTTP 200 OK. • New POD inserted WITHOUT a deactivation date. • Old POD deactivation date set = new activation - 1 day. • POD marked Re-signed. | ✅ | TC-BE-28
26 | 25 | Old POD has a deactivation date scheduled in the current or future version of the old contract — new POD should inherit it and old contract future-version rows for this POD must be cleared. | New contract product is flagged as re-signing product - ✅ Product supply-activation rule = Manual - ❌ Customer has another contract for same product, status Active (in term or perpetuity) - ✅ New (re-signing) product is compatible with old contract's product - ✅ Signing date is between old contract end date and early re-sign deadline (inclusive) - ✅ Old contract version has ≥1 Active POD not yet marked Re-signed - ✅ Selected POD has future activation in another contract (AC4) - ❌ POD has a gap in a future version of the old contract - ❌ POD can be activated in at least one version of the new contract - ✅ Old POD has deactivation date in current/future version - ✅ | HTTP 200 OK. • New POD inherits the original deactivation date. • Old contract future-version rows for this POD are cleared (no orphan rows). • Old POD deactivation set on activation - 1 day. • POD marked Re-signed. | ✅ | TC-BE-37
27 | 26 | User selects two PODs and submits them together; both pass all gates. | Two PODs selected on submit - ✅ All re-signing gates pass for BOTH PODs - ✅ | HTTP 200 OK. • Both PODs transferred atomically (single DB transaction). • Both deactivated on the old contract on activation - 1. • Both marked Re-signed. • Response body lists results per POD for UI. | ✅ | TC-BE-37
28 | 27 | Multi-POD submit where one POD is already Re-signed (violates AC6) and the other is valid — entire batch must roll back atomically. | Two PODs selected on submit - ✅ POD #1 is eligible (passes all gates) - ✅ POD #2 is already Re-signed in this version (AC6 violation) - ✅ | HTTP 409/422 with code POD_ALREADY_RESIGNED_THIS_VERSION (or batch error referencing POD #2). • Entire transaction rolled back — neither POD moved. • Old + new contracts identical to pre-call state. • No partial Re-signed marker, no orphan POD rows. | ✅ | TC-BE-42
29 | 28 | After a successful re-sign (e.g. TC-1), a downstream caller fetches the old contract version and expects to see the Re-signed marker on the moved POD. | TC-1 completed successfully - ✅ GET old contract version including PODs - ✅ | HTTP 200 OK from the GET endpoint. • Moved POD row carries an explicit Re-signed indicator (persisted per backend BA decision: contract_pods.status enum value or audit table join). • PODs that were not part of the re-sign retain their previous status. | ✅ | 
30 | 29 | Caller submits an empty selectedPodIds array — request must be rejected by Bean Validation, not silently treated as a no-op. | Request body has selectedPodIds = [] - ✅ | HTTP 400 with Bean Validation error: selectedPodIds: must not be empty. • No state changes. • Error payload should be field-tagged for UI mapping. | ✅ | —
31 | 30 | Caller submits a POD id that does not exist OR belongs to a different contract than the source. | selectedPodIds contains a non-existent or wrong-contract id - ✅ | HTTP 404/422 with code POD_NOT_FOUND_ON_SOURCE_CONTRACT. • Error payload identifies the offending id. • No state changes. | ✅ | 
32 | 31 | Token has no sales-agent / contract-edit permission — must be blocked at the security layer before re-signing logic runs. | Token has sales-agent / contract-edit permission - ❌ | HTTP 401 (no auth) or 403 (no permission). • No state changes. • Error follows project's standard auth-error envelope (no leakage of contract or POD details). | ✅ | —
33 | 32 | Source contract belongs to a customer different from the new contract — re-signing across customers is not allowed. | Old contract customer == new contract customer - ❌ | HTTP 400/422 with code RESIGNING_CUSTOMER_MISMATCH. • No state changes. • Error payload identifies both customer ids for support. | ✅ | 
34 | 33 | TC-BE-1 (Positive): Validation on Create and Update — Re-sign checks run on **Create** and **Update** (not sign-only). | Validation on Create and Update - ✅ --- Apply test data 1–9; positive deltas for TC-BE-37. - ✅ | Steps **1–18** evaluated on create/update; success only when full chain passes.  Test steps: 1. **Create** F with P-RS, customer A, POD a from B. 2. **Update** F (non-status field). 3. **Update** F to **Signed by both sides** with full re-sign payload. | ⏳ | TC-BE-1
35 | 34 | TC-BE-2 (Negative): Step 1 — status not Signed by both sides / Special processes | Validation on Create and Update - — Contract status Signed by both sides or Special processes - ❌ --- Apply test data 1–8; F status = **Ready** (or other non-qualifying status). - ❌ | **Error**; steps **2–18** not executed.  Test steps: Update F with re-sign POD data. | ⏳ | TC-BE-2
36 | 35 | TC-BE-3 (Positive): Step 1 — Special processes status allows re-sign | Validation on Create and Update - — Contract status Signed by both sides or Special processes - ✅ --- Apply test data 1–9; F final status = **Special processes** (not Signed by both sides); otherwise valid for TC-BE-37. - ✅ | Step **1** passes; chain can complete through **18** (same as Signed by both sides path).  Test steps: Update/sign F. | ⏳ | TC-BE-3
37 | 36 | TC-BE-4 (Negative): Step 2 — no version contains signing date | Validation on Create and Update - — Signing date within contract version validity window - ❌ --- Apply test data 1–8; F has V1–V3 but **S** outside all `validity start/end` intervals. - ❌ | **Error:** *Contract can't be resigned, respective version doesn't exist* (or equivalent); no step **16–18** writes.  Test steps: Update/sign F. | ⏳ | TC-BE-4
38 | 37 | TC-BE-5 (Positive): Step 2 — signing date falls in one contract version | Validation on Create and Update - — Signing date within contract version validity window - ✅ --- Apply test data 1–9; **S** = **2026-03-15** inside e.g. V2 validity **2026-03-01 – 2026-03-31**. - ✅ | System selects version where `start < S < end`; step **3** uses product from **that** version.  Test steps: Update/sign F; record matched version id. | ⏳ | TC-BE-5
39 | 38 | TC-BE-6 (Negative): Step 3 — Re-sign not checked on product | Validation on Create and Update - — Product Re-sign flag checked on product - ❌ --- Apply test data 1–8; product on matched version has **Re-sign** = **No**. - ❌ | **Error** (user: No → error); chain stops.  Test steps: Create/update F. | ⏳ | TC-BE-6
40 | 39 | TC-BE-7 (Positive): Step 3 — Re-sign checked on product | Validation on Create and Update - — Product Re-sign flag checked on product - ✅ --- Apply test data 1–9; **Re-sign** = **Yes** on P-RS. - ✅ | Validation **continues** to step **4** (no error on step 3).  Test steps: Update F after step **2** match. | ⏳ | TC-BE-7
41 | 40 | TC-BE-9 (Negative): Step 5 — signing date not within old contract date scope | Validation on Create and Update - — Signing date within old contract date scope - ❌ --- Apply test data 1–6, 8–9; B exists; **S** outside B’s applicable contract/version date scope. - ❌ | **Error** (No → error); B not used.  Test steps: Update/sign F linked to B. | ⏳ | TC-BE-9
42 | 41 | TC-BE-10 (Positive): Step 5 — signing date within old contract scope | Validation on Create and Update - — Signing date within old contract date scope - ✅ --- Apply test data 1–9; **S** within B validity for respective version (per signing date). - ✅ | Step **5** passes (Yes → continue).  Test steps: Update F selecting B as source. | ⏳ | TC-BE-10
43 | 42 | TC-BE-11 (Negative): Step 6 — re-signing product incompatible | Validation on Create and Update - — Re-signing product compatible with old contract product - ❌ --- Apply test data 1–6, 8–9; B = P-STD; F uses **P-RS-INCOMPAT**. - ❌ | **Error:** *Contract can't be created/edited. Re-signing unavailable due to product incompatibility*.  Test steps: Create/update F. | ⏳ | TC-BE-11
44 | 43 | TC-BE-12 (Positive): Step 6 — compatible re-signing product | Validation on Create and Update - — Re-signing product compatible with old contract product - ✅ --- Apply test data 1–9; F uses **P-RS** compatible with B’s P-STD. - ✅ | Step **6** passes (Yes → continue).  Test steps: Update F. | ⏳ | TC-BE-12
45 | 44 | TC-BE-14 (Positive): Step 7a.ii — term end filled, early re-signing deadline empty → eligible | Validation on Create and Update - — Signing date within re-signing window (Active in term) - ✅ --- Apply test data 1–6, 8–9; B **Contract term end date** filled; **Deadline for early re-signing** **empty**; **S** before term end. - ✅ | B **eligible** (treated as fitting re-signing per **7a.ii**).  Test steps: Filter/select B for re-sign. | ⏳ | TC-BE-14
46 | 45 | TC-BE-16 (Positive): Step 7b — Active in perpetuity always available | Validation on Create and Update - — Signing date within re-signing window (Active in term) - ✅ Active in perpetuity contract eligible - ✅ | B-perp **always** eligible (Yes → continue).  Test steps: Re-sign F from B-perp (ignore in-term window rules). | ⏳ | TC-BE-16
47 | 46 | TC-BE-18 (Positive): Step 8 — at least one eligible POD on old contract | Validation on Create and Update - — Old contract has eligible POD (activation set, not Re-signed) - ✅ --- Apply test data 1–9; B POD a: activation set, **Re-signed** = false. - ✅ | Step **8** passes (Yes → continue).  Test steps: Select POD a on F. | ⏳ | TC-BE-18
48 | 47 | TC-BE-19 (Positive): Step 9 — 3rd tab required fields present | Validation on Create and Update - — 3rd tab: supply activation rule + wait for old term configured - ✅ --- Apply test data 1–8; F draft. - ✅ | Both settings stored; required for step **10**.  Test steps: Set and save **Supply activation after contract re-signing** (non-Manual mode) and **Wait for old contract term to expire** (Yes/No). | ⏳ | TC-BE-19
49 | 48 | TC-BE-20 (Negative): Filter — old contract initial term end date empty → skip | Validation on Create and Update - — Old contract passes filter / skip rules - ❌ --- Apply test data 1–8; filtered B has **initial term end date** empty (diagram skip). - ❌ | Contract **skipped**; if no other match → TC-BE-40 error family.  Test steps: Run re-sign filter for F PODs. | ⏳ | TC-BE-20
50 | 49 | TC-BE-21 (Negative): Step 10 — initial term end date less than taken POD activation on old | Validation on Create and Update - — Contract status Signed by both sides or Special processes - ✅ Old contract has eligible POD (activation set, not Re-signed) - ✅ Wait for old contract term / activation date rules applied - ❌ | Rule **10.x** not applied / contract skipped or **error** (cannot use activation from old for this filter).  Test steps: Attempt step **10.1** or **10.2** calculation. | ⏳ | TC-BE-21
51 | 50 | TC-BE-23 (Positive): Step 10.1 — Wait = No, exact day (next month same day) | Validation on Create and Update - — Contract status Signed by both sides or Special processes - ✅ Wait for old contract term / activation date rules applied - ✅ | Activation uses **exact day** from new contract — **same calendar day in the month after S** (per user **10.1**).  Test steps: Sign with **S** in March; verify activation. | ⏳ | TC-BE-23
52 | 51 | TC-BE-24 (Negative): Step 10.2 — perpetuity date not empty and not greater than S → skip | Validation on Create and Update - — Contract status Signed by both sides or Special processes - ❌ Active in perpetuity contract eligible - ✅ Wait for old contract term / activation date rules applied - ❌ Old contract passes filter / skip rules - ❌ | Contract **skipped** (user: No → skip).  Test steps: Filter old contract for 10.2. | ⏳ | TC-BE-24
53 | 52 | TC-BE-27 (Negative): Step 11.1 — calculated activation outside old POD window | Validation on Create and Update - — Contract status Signed by both sides or Special processes - ✅ Old contract has eligible POD (activation set, not Re-signed) - ✅ POD activation window rules on old contract - ❌ | **Error** (No → error).  Test steps: Update/sign F. | ⏳ | TC-BE-27
54 | 53 | TC-BE-29 (Negative): Step 12 — respective old version does not exist for taken activation | Validation on Create and Update - — Contract status Signed by both sides or Special processes - ❌ Signing date within contract version validity window - ❌ Respective old contract version exists for activation - ❌ | **Error:** *respective version doesn't exist*.  Test steps: Update/sign F. | ⏳ | TC-BE-29
55 | 54 | TC-BE-30 (Positive): Steps 11–12 — POD window and respective version valid | Validation on Create and Update - — Signing date within contract version validity window - ✅ Old contract has eligible POD (activation set, not Re-signed) - ✅ POD activation window rules on old contract - ✅ | Steps **11–12** pass (Yes → continue to **13**).  Test steps: Update through step **12** (observe no error). | ⏳ | TC-BE-30
56 | 55 | TC-BE-31 (Negative): Step 13 — future activation in another contract greater than calculated | Validation on Create and Update - — Contract status Signed by both sides or Special processes - ❌ Future activation in other contract (AC4) - ✅ | **Error** (user step **13**); re-sign blocked.  Test steps: Update/sign F without confirm override. | ⏳ | TC-BE-31
57 | 56 | TC-BE-38 (Positive): Successful path — Wait = Yes (steps 16–18) — Second **წარმატებული ქეისი** after **10.2** (TC-BE-25/26). | Validation on Create and Update - — Wait for old contract term / activation date rules applied - ✅ Steps 16–18 persistence (dates, signed from/to, Re-signed) - ✅ | Same persistence as TC-BE-37 with **10.2** activation dates.  Test steps: Same as TC-BE-37. | ⏳ | TC-BE-38
58 | 57 | TC-BE-39 (Negative): Unsuccessful path — error before step 16, no persistence — **წარუმატებელი ქეისი**. | Validation on Create and Update - — --- Apply test data 1–9; fail at step **14** or **15** (or **13** without confirm). - ❌ | **Error**; **no** step **16–18** data (no signed from/to, no Re-signed flag, no calculated dates on F/B).  Test steps: Update/sign F. | ⏳ | TC-BE-39
59 | 58 | TC-BE-40 (Negative): No valid old contract after filter (POD combinations) | Validation on Create and Update - — Old contract has eligible POD (activation set, not Re-signed) - ✅ Old contract passes filter / skip rules - ❌ | **Error:** *Contract can't be signed, Valid contract for signing isn't exist*.  Test steps: Update/sign F. | ⏳ | TC-BE-40
